date,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
2024-05-21,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-05-20,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-05-17,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-05-16,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-05-15,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-05-14,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-05-13,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-05-10,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-05-09,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-05-08,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-05-07,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-05-06,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-05-03,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-05-02,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-04-26,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-04-25,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-04-24,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-04-23,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-04-22,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-04-19,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-04-17,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-04-16,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-04-15,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-04-12,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-04-11,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-04-10,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-04-09,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-04-08,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-04-05,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-04-04,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-04-03,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-04-02,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-04-01,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-03-29,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-03-28,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-03-27,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-03-26,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-03-25,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-03-22,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-03-21,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-03-20,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-03-19,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-03-18,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-03-15,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-03-14,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-03-13,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-03-12,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-03-11,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-03-08,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-03-07,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-03-06,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-03-05,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-03-04,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-03-01,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-02-29,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-02-28,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-02-27,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-02-26,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-02-23,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-02-22,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-02-21,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-02-20,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-02-19,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-02-16,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-02-15,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-02-07,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-02-06,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-02-05,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-02-02,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-02-01,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-01-31,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-01-30,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-01-29,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-01-26,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-01-25,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-01-24,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-01-23,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-01-22,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-01-19,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-01-18,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-01-17,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-01-16,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-01-15,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-01-12,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-01-11,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-01-10,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-01-09,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-01-08,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-01-05,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-01-04,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-01-03,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-01-02,0,0.0,0,0.0,0,0.0,6370000,0.0,amp
2024-09-12,1900,0.02,1900,0.02,0,0.0,8140122,35.43,ams
2024-09-11,0,0.0,0,0.0,0,0.0,8142022,35.43,ams
2024-09-10,0,0.0,0,0.0,0,0.0,8142022,35.43,ams
2024-09-09,0,0.0,0,0.0,0,0.0,8142022,35.43,ams
2024-09-06,0,0.0,0,0.0,0,0.0,8142022,35.43,ams
2024-09-05,0,0.0,0,0.0,0,0.0,8142022,35.43,ams
2024-09-04,0,0.0,0,0.0,0,0.0,8142022,35.43,ams
2024-08-30,0,0.0,0,0.0,0,0.0,8142022,35.43,ams
2024-08-29,0,0.0,0,0.0,0,0.0,8142022,35.43,ams
2024-08-28,0,0.0,0,0.0,0,0.0,8142022,35.43,ams
2024-08-27,0,0.0,0,0.0,0,0.0,8142022,35.43,ams
2024-08-26,0,0.0,0,0.0,0,0.0,8142022,35.43,ams
2024-08-23,0,0.0,0,0.0,0,0.0,8142022,35.43,ams
2024-08-22,0,0.0,0,0.0,0,0.0,8142022,35.43,ams
2024-08-21,0,0.0,0,0.0,0,0.0,8142022,35.43,ams
2024-08-20,0,0.0,0,0.0,0,0.0,8142022,35.43,ams
2024-08-19,0,0.0,0,0.0,0,0.0,8142022,35.43,ams
2024-08-16,0,0.0,0,0.0,0,0.0,8142022,35.43,ams
2024-08-15,0,0.0,0,0.0,0,0.0,8142022,35.43,ams
2024-08-14,0,0.0,0,0.0,0,0.0,8142022,35.43,ams
2024-08-13,0,0.0,0,0.0,0,0.0,8142022,35.43,ams
2024-08-12,0,0.0,0,0.0,0,0.0,8142022,35.43,ams
2024-08-09,0,0.0,0,0.0,0,0.0,8142022,35.43,ams
2024-08-08,0,0.0,0,0.0,0,0.0,8142022,35.43,ams
2024-08-07,0,0.0,0,0.0,0,0.0,8142022,35.43,ams
2024-08-06,0,0.0,0,0.0,0,0.0,8142022,35.43,ams
2024-08-05,0,0.0,0,0.0,0,0.0,8142022,35.43,ams
2024-08-02,0,0.0,0,0.0,0,0.0,8142022,35.43,ams
2024-08-01,0,0.0,0,0.0,0,0.0,8142022,35.43,ams
2024-07-31,0,0.0,0,0.0,0,0.0,8142022,35.43,ams
2024-07-30,0,0.0,0,0.0,0,0.0,8142022,35.43,ams
2024-07-29,0,0.0,0,0.0,0,0.0,8142022,35.43,ams
2024-07-24,0,0.0,0,0.0,0,0.0,8142022,35.43,ams
2024-07-23,0,0.0,0,0.0,0,0.0,8142022,35.43,ams
2024-07-22,0,0.0,0,0.0,0,0.0,8142022,35.43,ams
2024-07-19,0,0.0,0,0.0,0,0.0,8142022,35.43,ams
2024-07-18,0,0.0,0,0.0,0,0.0,8142022,35.43,ams
2024-07-17,3000,0.03,3000,0.03,0,0.0,8133222,35.44,ams
2024-07-16,-8800,-0.1,0,0.0,8800,0.1,8136222,35.44,ams
2024-07-15,0,0.0,0,0.0,0,0.0,8136222,35.44,ams
2024-07-12,0,0.0,0,0.0,0,0.0,8135522,35.44,ams
2024-07-11,-700,-0.01,0,0.0,700,0.01,8134222,35.44,ams
2024-07-10,-1300,-0.01,0,0.0,1300,0.01,8134222,35.44,ams
2024-07-08,7000,0.08,7000,0.08,0,0.0,8134222,35.44,ams
2024-07-04,0,0.0,0,0.0,0,0.0,8141222,35.43,ams
2024-07-03,0,0.0,0,0.0,0,0.0,8141222,0.0,ams
2024-07-02,0,0.0,0,0.0,0,0.0,8141222,35.43,ams
2024-07-01,5000,0.06,5000,0.06,0,0.0,8081222,35.53,ams
2024-06-28,-52000,-0.62,8000,0.09,60000,0.71,8086222,35.52,ams
2024-06-27,0,0.0,0,0.0,0,0.0,8094222,35.51,ams
2024-06-26,3200,0.04,3200,0.04,0,0.0,8094222,35.51,ams
2024-06-25,0,0.0,0,0.0,0,0.0,8096422,35.51,ams
2024-06-24,-1000,-0.01,0,0.0,1000,0.01,8096422,35.51,ams
2024-06-21,0,0.0,0,0.0,0,0.0,8096422,35.51,ams
2024-06-20,0,0.0,0,0.0,0,0.0,8096422,35.51,ams
2024-06-19,1000,0.01,1000,0.01,0,0.0,8096422,35.51,ams
2024-06-18,0,0.0,0,0.0,0,0.0,8097422,35.5,ams
2024-06-17,8800,0.1,8800,0.1,0,0.0,8097422,35.5,ams
2024-06-14,0,0.0,0,0.0,0,0.0,8106222,35.49,ams
2024-06-13,10000,0.11,10000,0.11,0,0.0,8101222,35.5,ams
2024-06-12,-5000,-0.05,0,0.0,5000,0.05,8111222,35.48,ams
2024-06-11,0,0.0,0,0.0,0,0.0,8111222,0.0,ams
2024-06-10,1900,0.02,1900,0.02,0,0.0,8111222,0.0,ams
2024-06-07,0,0.0,0,0.0,0,0.0,8113122,35.48,ams
2024-06-06,0,0.0,0,0.0,0,0.0,8113122,35.48,ams
2024-06-05,0,0.0,0,0.0,0,0.0,8112422,0.0,ams
2024-06-04,-700,-0.01,0,0.0,700,0.01,8112422,0.0,ams
2024-06-03,0,0.0,0,0.0,0,0.0,8112422,0.0,ams
2024-05-31,0,0.0,0,0.0,0,0.0,8112422,35.48,ams
2024-05-30,0,0.0,0,0.0,0,0.0,8112422,35.48,ams
2024-05-29,0,0.0,0,0.0,0,0.0,8112422,35.48,ams
2024-05-28,0,0.0,0,0.0,0,0.0,8112422,35.48,ams
2024-05-27,0,0.0,0,0.0,0,0.0,8112422,35.48,ams
2024-05-24,0,0.0,0,0.0,0,0.0,8112422,0.0,ams
2024-05-23,0,0.0,0,0.0,0,0.0,8112422,35.48,ams
2024-05-22,0,0.0,0,0.0,0,0.0,8112422,35.48,ams
2024-05-21,0,0.0,0,0.0,0,0.0,8112422,35.48,ams
2024-05-20,0,0.0,0,0.0,0,0.0,8112422,35.48,ams
2024-05-17,0,0.0,0,0.0,0,0.0,8112422,35.48,ams
2024-05-16,0,0.0,0,0.0,0,0.0,8112422,0.0,ams
2024-05-15,0,0.0,0,0.0,0,0.0,8112422,0.0,ams
2024-05-14,0,0.0,0,0.0,0,0.0,8112422,0.0,ams
2024-05-13,0,0.0,0,0.0,0,0.0,8112422,35.48,ams
2024-05-10,0,0.0,0,0.0,0,0.0,8112422,35.48,ams
2024-05-09,0,0.0,0,0.0,0,0.0,8112422,35.48,ams
2024-05-08,0,0.0,0,0.0,0,0.0,8112422,35.48,ams
2024-05-07,0,0.0,0,0.0,0,0.0,8112422,35.48,ams
2024-05-06,0,0.0,0,0.0,0,0.0,8112422,35.48,ams
2024-05-03,0,0.0,0,0.0,0,0.0,8112422,35.48,ams
2024-05-02,0,0.0,0,0.0,0,0.0,8112422,35.48,ams
2024-04-26,0,0.0,0,0.0,0,0.0,8112422,35.48,ams
2024-04-25,0,0.0,0,0.0,0,0.0,8112422,0.0,ams
2024-04-24,0,0.0,0,0.0,0,0.0,8112422,0.0,ams
2024-04-23,0,0.0,0,0.0,0,0.0,8112422,35.48,ams
2024-04-22,0,0.0,0,0.0,0,0.0,8112422,35.48,ams
2024-04-19,0,0.0,0,0.0,0,0.0,8111422,0.0,ams
2024-04-17,-1000,-0.01,0,0.0,1000,0.01,8111422,0.0,ams
2024-04-16,0,0.0,0,0.0,0,0.0,8111422,0.0,ams
2024-04-15,0,0.0,0,0.0,0,0.0,8111422,0.0,ams
2024-04-12,0,0.0,0,0.0,0,0.0,8111422,35.48,ams
2024-04-11,0,0.0,0,0.0,0,0.0,8111422,35.48,ams
2024-04-10,0,0.0,0,0.0,0,0.0,8111422,0.0,ams
2024-04-09,0,0.0,0,0.0,0,0.0,8111422,0.0,ams
2024-04-08,1000,0.01,1000,0.01,0,0.0,8111422,0.0,ams
2024-04-05,0,0.0,0,0.0,0,0.0,8112422,35.48,ams
2024-04-04,0,0.0,0,0.0,0,0.0,8112422,0.0,ams
2024-04-03,0,0.0,0,0.0,0,0.0,8112422,35.48,ams
2024-04-02,0,0.0,0,0.0,0,0.0,8112422,0.0,ams
2024-04-01,0,0.0,0,0.0,0,0.0,8112422,35.48,ams
2024-03-29,0,0.0,0,0.0,0,0.0,8112422,35.48,ams
2024-03-28,0,0.0,0,0.0,0,0.0,8112422,35.48,ams
2024-03-27,0,0.0,0,0.0,0,0.0,8112422,35.48,ams
2024-03-26,0,0.0,0,0.0,0,0.0,8112422,0.0,ams
2024-03-25,0,0.0,0,0.0,0,0.0,8112422,35.48,ams
2024-03-22,0,0.0,0,0.0,0,0.0,8112422,0.0,ams
2024-03-21,0,0.0,0,0.0,0,0.0,8112422,0.0,ams
2024-03-20,0,0.0,0,0.0,0,0.0,8112422,0.0,ams
2024-03-19,0,0.0,0,0.0,0,0.0,8112422,35.48,ams
2024-03-18,0,0.0,0,0.0,0,0.0,8112422,35.48,ams
2024-03-15,0,0.0,0,0.0,0,0.0,8112422,0.0,ams
